Name,Name@ja,Photo,Image,Price (180mL),Price (300mL),Price (375mL),Price (500mL),Price (720mL),Price (720mL+Box),Price (750mL),Price (300mL x 3),Price (1000mL),"Price (1,800mL)",Info@ja,Awards@ja,Type,Aged year,Aged temperature,Kosher certified,Kuramoto,Owner,Toji,tel,fax,email,web,Address,About,Titratable acidity,pH,Amino acid,Nihonshu-do,Residual sugar (glucose),Alcohol,Rice,Seimai-buai,Koji production,Yeast,Fermenting period,Fermenting vat,Fermenting temperature,Finishing,Other featuers regarding sake making,Serving suggestion
Born: Kichibee,梵・吉平（きちべえ）,https://codeforfukui.github.io/born/images/23.jpg,https://codeforfukui.github.io/born/images_png/23.png,,,,,2200,,,,,4400,山田錦50%精白の純米大吟醸酒。越前古式醸造。\n0℃で二年間熟成。深くて幅のある味が引き出され、看板の名に恥じない名酒。,2005年 全米日本酒歓評会 ゴールドメダル受賞\nISC2010（インターナショナル・サケ・チャレンジ）トロフィー（第1位）受賞,Junmai Daiginjo (2 years aged at 0℃),2,0,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1517,81-778-53-1416,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0011",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,1.8ml,4,1.6ml,3,11g/l,15% vol.,Yamadanishiki,35% + 50%,Toko kouji hou (big box),In-house selected yeast (K9),35 days,porcelain enamel tank,15℃,"No filter, pasteurization at low temperature","Kimoto shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",0℃ - 10℃
Born: Tsuya,梵・艶（つや）,https://codeforfukui.github.io/born/images/3.jpg,https://codeforfukui.github.io/born/images_png/3.png,,600,,,1600,,,,,3300,山田錦50%精米歩合による純米大吟醸酒。\nマイナス5°Cで一年間熟成。華やかな香りと幅のある味に仕上がった艶やかな酒。,,Junmai Daiginjo (1 year aged at 0℃),1,0,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1518,81-778-53-1417,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0012",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,1.7ml,4,1.5ml,1,11g/l,15% vol.,Yamadanishiki,50%,Toko kouji hou (big box),In-house selected yeast (K9),35 days,porcelain enamel tank,12℃,"No filter, pasteurization at low temperature","Sokujo shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",0℃ - 10℃
Born: Ginsen,梵・吟撰（ぎんせん）,https://codeforfukui.github.io/born/images/2.jpg,https://codeforfukui.github.io/born/images_png/2.png,,,,,1600,,,,,,山田錦50%精米歩合の0℃で一年間熟成された特別純米酒(限定品)。芳醇旨口,ISC2008(インターナショナル・サケ・チャレンジ) 最高賞トロフィー受賞\nIWC2010(インターナショナル・ワイン・チャレンジ) チャンピオン・サケ(世界第一位)受賞,Junmai Daiginjo (2 years aged at -5℃),2,-5,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1519,81-778-53-1418,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0013",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,1.7ml,4,1.5ml,1,11g/l,15% vol.,Yamadanishiki,50%,Toko kouji hou (big box),In-house selected yeast (K9),35 days,porcelain enamel tank,12℃,"No filter, pasteurization at low temperature","Sokujo shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",0℃ - 10℃
Born: Gold,梵・ゴールド（GOLD）,https://codeforfukui.github.io/born/images/1.jpg,https://codeforfukui.github.io/born/images_png/1.png,,,,,1429,,,,,3000,マイナス10°Cで一年間熟成された、無ろ過純米大吟醸の生酒をビン燗火入れして旨さを封じ込めた黄金色をした名酒です\n熱々のチーズパスタ・シチューやオリーブを使った魚のカルパッチョなど西洋料理とも抜群の相性です。\nキリリと冷やして、大きめのワイングラスでお試し下さい。,2013年 ロサンゼルス国際ワイン・スピリッツ・コンペティション ゴールドメダル受賞\n2014年 ロサンゼルス国際ワイン・スピリッツ・コンペティション 最高賞・トップゴールド受賞\n2014年 全米日本酒歓評会 ゴールドメダル受賞,Junmai Daiginjo (1 year aged at -10℃),1,-10,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1520,81-778-53-1419,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0014",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,1.7ml,4,1.4ml,1,10g/l,15% vol.,Yamadanishiki,50%,Toko kouji hou (big box),In-house selected yeast (K9),35 days,porcelain enamel tank,15℃,"No filter, pasteurization at low temperature","Sokujo shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",5℃ - 20℃
Born: Tokishirazu,梵・ときしらず,https://codeforfukui.github.io/born/images/6.jpg,https://codeforfukui.github.io/born/images_png/6.png,,,,,1300,,,,,2700,麹50%掛55%精米歩合の熟成純米酒。\n5°Cで五年間熟成のたまもので、素晴らしい熟成香と色。\n冷やでコシがあり、ぬる燗で味深まる。\n日本酒党には、まさに「不知時」の酒。,2004年・2005年 全米日本酒歓評会 ゴールドメダル受賞\n純米酒燗評会2008 全国第一位\n2012年 純米酒大賞 金賞受賞,Junmai Ginjo (5 years aged at 5℃),5,5,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1521,81-778-53-1420,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0015",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,1.8ml,3.5,1.7ml,5,11g/l,15% vol.,Gohyakumangoku/Yamadanishiki,55%,Toko kouji hou (big box),In-house selected yeast (KZ10),30 days,porcelain enamel tank,12℃,"No filter, pasteurization at low temperature","Sokujo shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",0℃ - 10℃
Born: Junmai 55,梵・純米（純米） (磨き五割五分）,https://codeforfukui.github.io/born/images/4.jpg,https://codeforfukui.github.io/born/images_png/4.png,,,,,1191,,,,,2381,さわやかで重厚なコシのある香りがあり、素晴らしい切れとともに、軽快で深い味が特徴です。そのまま”ひや”や、キリリとと冷たく冷やしても最高です。燗をすると酸がきいて味がより深くなり抜群の旨さです。家庭料理から本格的洋風料理まで、 どんな料理にも合う、オールマイティーの旨さの「梵」の定番酒です。,2012年 純米酒大賞 金賞受賞\n2012年 全米日本酒歓評会 ゴールドメダル受賞,Junmai Ginjo (1 year aged 0℃),1,0,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1522,81-778-53-1421,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0016",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,1.7ml,3.9,1.6ml,3,10g/l,15% vol.,Gohyakumangoku/Yamadanishiki,55%,Toko kouji hou (big box),In-house selected yeast (KZ10),30 days,porcelain enamel tank,15℃,"Paper filter, pasteurization at low temperature","Sokujo shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",10℃ - 40℃
Born: Junsui,梵・純粋（純米大吟醸）,https://codeforfukui.github.io/born/images/9.jpg,https://codeforfukui.github.io/born/images_png/9.png,,500,,,,,,,,,,,Junmai Ginjo (1 year aged at -5℃),1,-5,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1523,81-778-53-1422,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0017",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,1.6ml,3.8,1.5ml,1,11g/l,15% vol.,Yamadanishiki,50%,Toko kouji hou (big box),In-house selected yeast (K9),35 days,porcelain enamel tank,12℃,"No filter, pasteurization at low temperature","Sokujo shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",0℃ - 10℃
Born: Muroka Nama Genshu,梵・無ろ過生原酒（純米大吟醸）,https://codeforfukui.github.io/born/images/7.jpg,https://codeforfukui.github.io/born/images_png/7.png,,,,,1800,,,,,3800,マイナス10°Cで一年間熟成された、純米大吟醸酒。\n力強い山廃生原酒の骨太さを持ちながら、香り高く、フレッシュな旬の旨さを封じ込めた”豊潤旨口”。,2013年 ロサンゼルス国際ワイン・スピリッツ コンペティション ゴールドメダル受賞\n2014年 ロサンゼルス国際ワイン・スピリッツ・コンペティション 最高賞・トップゴールド受賞\n2015年 ロサンゼルス国際ワイン・スピリッツ・コンペティション 最高賞・トップゴールド受賞,Junmai Daiginjo (1 year aged at -10℃),1,-10,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1524,81-778-53-1423,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0018",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,1.7ml,4,1.5ml,2,11g/l,16% vol.,Yamadanishiki,50%,Toko kouji hou (big box),In-house selected yeast (K9),35 days,porcelain enamel tank,12℃,"No filter, No pasteurization","Sokujo shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",0℃ - 10℃
Born: Premium Sparkling,梵・プレミアムスパークリング 純米大吟醸（瓶内二次発酵）,https://codeforfukui.github.io/born/images/13.jpg,https://codeforfukui.github.io/born/images_png/13.png,,,3500,,,,7000,,,,,ワイングラスでおいしい日本酒アワード2014 最高金賞受賞\n2014年 ロサンゼルス国際ワイン・スピリッツ・コンペティション ゴールドメダル受賞,Junmai Daiginjo (Secondary fermentation in the bottle and 1 year aged -10℃),1,-10,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1525,81-778-53-1424,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0019",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,private,private,private,private,private,16% vol.,Yamadanishiki,20%,Toko kouji hou (big box),In-house selected yeast (K9),35 days,porcelain enamel tank,12℃,"No filter, No pasteurization (nama)","Sokujo shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",0℃ - 10℃
Born: Shiboritate Hatsuyuki (Yamadanishiki),梵・しぼりたて初雪 山田錦 純米大吟醸（限定品）,https://codeforfukui.github.io/born/images/12.jpg,https://codeforfukui.github.io/born/images_png/12.png,,,,,1800,,,,,,,,Junmai Daiginjo (nama genshu),0,-,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1526,81-778-53-1425,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0020",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,1.8ml,4.2,1.7ml,2,12g/l,17% vol.,Yamadanishiki,35% + 50%,Toko kouji hou (big box),In-house selected yeast (K9),35 days,porcelain enamel tank,12℃,"No filter, No pasteurization (nama)","Sokujo shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",0℃ - 10℃
Born: Funaba Shunshibori,梵・槽場（ふなば）旬搾り（磨き三割五分）,https://codeforfukui.github.io/born/images/8.jpg,https://codeforfukui.github.io/born/images_png/8.png,,,,,2500,,,,,5000,このお酒は、旬搾り・無加圧という、酒袋から自然に流れ出た一滴一滴を集めた純米大吟醸の生原酒です。\n香り高く、フレッシュな旬の旨さをご堪能ください。,,Junmai Daiginjo (nama genshu),0,-,Kosher certified,"Katoukichibee Shouten Co., Ltd.",Atsuhide Kato,Akira Hirano,81-778-51-1527,81-778-53-1426,info@born.co.jp,http://www.born.co.jp/,"1-11 Yoshie-cho, Sabae-shi, Fukui 916-0021",Richi aroma and acidity typical for Junmai Daiginjo method are integrated into a distinctive chracetr.,1.7ml,4,1.6ml,2,11g/l,16% vol.,Yamadanishiki,35%,Toko kouji hou (big box),In-house selected yeast (K9),35 days,porcelain enamel tank,12℃,"No filter, No pasteurization","Sokujo shubo, a best Japanese Sake method, in state-of-the-art brewery, pharmaceutical maker level until complete health management.",0℃ - 10℃
Born: Junsen,梵・純撰（じゅんせん）（純米大吟醸）,https://codeforfukui.github.io/born/images/10.jpg,https://codeforfukui.github.io/born/images_png/10.png,400,,,1143,,,,,,,,国際線ビジネスクラス指名No.1の酒,,,,,,,,,,,,,,,,,,,,Yamadanishiki,50%,,,,,,,,
Born: Shiboritate Hatsuyuki (Gohyakumangoku),梵・しぼりたて初雪 五百万石 純米吟醸（限定品）,https://codeforfukui.github.io/born/images/11.jpg,https://codeforfukui.github.io/born/images_png/11.png,,,,,1429,,,,,,,,,,,,,,,,,,,,,,,,,,,Gohyakumangoku,55%,,,,,,,,
Born: Muroka Nama Genshu Usunigori Awayuki,梵・無ろ過生酒純米大吟醸うすにごり 淡雪（あわゆき）,https://codeforfukui.github.io/born/images/14.jpg,https://codeforfukui.github.io/born/images_png/14.png,,,,,,,,,,3238,,,,,,,,,,,,,,,,,,,,,,Yamadanishiki,50%,,,,,,,,
